2025-06-12T01:33:31: 2025-06-12 01:33:31,141 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T01:33:31: 2025-06-12 01:33:31,141 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:33:31: 2025-06-12 01:33:31,283 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T01:33:32: 2025-06-12 01:33:32,313 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T01:33:32: 2025-06-12 01:33:32,313 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:43:27 CEST)" executed successfully
2025-06-12T01:33:33: 2025-06-12 01:33:33,629 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T01:33:33: 2025-06-12 01:33:33,629 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:43:27 CEST)" executed successfully
2025-06-12T01:35:00: 2025-06-12 01:35:00,638 | discord.gateway | INFO | Shard ID None has successfully RESUMED session b0b86985bc243826a9b033a004bbe426.
2025-06-12T01:43:27: 2025-06-12 01:43:27,671 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:53:27 CEST)" (scheduled at 2025-06-12 01:43:27.640976+02:00)
2025-06-12T01:43:27: 2025-06-12 01:43:27,672 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T01:43:27: 2025-06-12 01:43:27,708 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:53:27 CEST)" (scheduled at 2025-06-12 01:43:27.679061+02:00)
2025-06-12T01:43:27: 2025-06-12 01:43:27,709 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T01:43:29: 2025-06-12 01:43:29,008 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-12 01:20 (previous: None)
2025-06-12T01:43:29: 2025-06-12 01:43:29,061 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-12 01:20 (previous: None)
2025-06-12T01:43:30: 2025-06-12 01:43:30,057 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607962 bytes
2025-06-12T01:43:30: 2025-06-12 01:43:30,135 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607962 bytes
2025-06-12T01:43:30: 2025-06-12 01:43:30,866 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
