set_name,date,volume_sold
SV: Paldean Fates,2024-07-22,15.00
SV: Paldean Fates,2024-07-22,2425.80
SV: Paldean Fates,2024-07-29,455.91
SV: Paldean Fates,2024-07-29,808.38
SV: Paldean Fates,2024-08-05,318.08
SV: Paldean Fates,2024-08-05,501.30
SV: Paldean Fates,2024-08-12,345.60
SV: Paldean Fates,2024-08-12,768.32
SV: Paldean Fates,2024-08-19,148.80
SV: Paldean Fates,2024-08-19,1381.71
SV: Paldean Fates,2024-08-26,324.47
SV: Paldean Fates,2024-08-26,3320.32
SV: Paldean Fates,2024-09-02,184.08
SV: Paldean Fates,2024-09-02,2159.06
SV: Paldean Fates,2024-09-09,161.04
SV: Paldean Fates,2024-09-09,3355.30
SV: Paldean Fates,2024-09-16,335.34
SV: Paldean Fates,2024-09-16,1651.65
SV: Paldean Fates,2024-09-23,234.50
SV: Paldean Fates,2024-09-23,2259.90
SV: Paldean Fates,2024-09-30,169.83
SV: Paldean Fates,2024-09-30,1761.50
SV: Paldean Fates,2024-10-07,479.98
SV: Paldean Fates,2024-10-07,1916.87
SV: Paldean Fates,2024-10-14,215.10
SV: Paldean Fates,2024-10-14,2082.36
SV: Paldean Fates,2024-10-21,1000.48
SV: Paldean Fates,2024-10-21,1479.28
SV: Paldean Fates,2024-10-28,1023.35
SV: Paldean Fates,2024-10-28,2165.91
SV: Paldean Fates,2024-11-04,358.56
SV: Paldean Fates,2024-11-04,3538.50
SV: Paldean Fates,2024-11-11,166.32
SV: Paldean Fates,2024-11-11,2113.65
SV: Paldean Fates,2024-11-18,1137.12
SV: Paldean Fates,2024-11-18,2766.40
SV: Paldean Fates,2024-11-25,3044.25
SV: Paldean Fates,2024-11-25,4359.04
SV: Paldean Fates,2024-12-02,2737.98
SV: Paldean Fates,2024-12-02,3268.00
SV: Paldean Fates,2024-12-09,1196.60
SV: Paldean Fates,2024-12-09,4926.48
SV: Paldean Fates,2024-12-16,2125.70
SV: Paldean Fates,2024-12-16,3422.91
SV: Paldean Fates,2024-12-23,2493.81
SV: Paldean Fates,2024-12-23,7320.00
SV: Paldean Fates,2024-12-30,5867.99
SV: Paldean Fates,2024-12-30,9183.51
SV: Paldean Fates,2025-01-06,2859.80
SV: Paldean Fates,2025-01-06,10707.84
SV: Paldean Fates,2025-01-13,836.95
SV: Paldean Fates,2025-01-13,11227.30
SV: Paldean Fates,2025-01-20,3999.00
SV: Paldean Fates,2025-01-20,9548.00
SV: Paldean Fates,2025-01-27,10130.80
SV: Paldean Fates,2025-01-27,8346.24
SV: Paldean Fates,2025-02-03,3485.28
SV: Paldean Fates,2025-02-03,11819.00
SV: Paldean Fates,2025-02-10,5007.10
SV: Paldean Fates,2025-02-10,13194.76
SV: Paldean Fates,2025-02-17,5054.52
SV: Paldean Fates,2025-02-17,11412.21
SV: Paldean Fates,2025-02-24,6021.75
SV: Paldean Fates,2025-02-24,16073.70
SV: Paldean Fates,2025-03-03,3036.46
SV: Paldean Fates,2025-03-03,14790.72
SV: Paldean Fates,2025-03-10,3232.68
SV: Paldean Fates,2025-03-10,9848.28
SV: Paldean Fates,2025-03-17,1881.36
SV: Paldean Fates,2025-03-17,12073.40
SV: Paldean Fates,2025-03-24,1414.92
SV: Paldean Fates,2025-03-24,10827.42
SV: Paldean Fates,2025-03-31,3431.01
SV: Paldean Fates,2025-03-31,8564.72
SV: Paldean Fates,2025-04-07,3174.60
SV: Paldean Fates,2025-04-07,8459.20
SV: Paldean Fates,2025-04-14,1354.05
SV: Paldean Fates,2025-04-14,14031.05
SV: Paldean Fates,2025-04-21,1576.96
SV: Paldean Fates,2025-04-21,13696.23
SV: Paldean Fates,2025-04-28,1527.60
SV: Paldean Fates,2025-04-28,14720.11
SV: Paldean Fates,2025-05-05,1445.73
SV: Paldean Fates,2025-05-05,13779.66
SV: Paldean Fates,2025-05-12,1952.86
SV: Paldean Fates,2025-05-12,21647.34
SV: Paldean Fates,2025-05-19,1047.62
SV: Paldean Fates,2025-05-19,8956.96
SV: Paldean Fates,2025-05-26,517.44
SV: Paldean Fates,2025-05-26,5825.16
SV: Paldean Fates,2025-06-02,105.30
SV: Paldean Fates,2025-06-02,117.72
SV: Paradox Rift,2024-06-10,262.99
SV: Paradox Rift,2024-06-10,2904.93
SV: Paradox Rift,2024-06-17,486.72
SV: Paradox Rift,2024-06-17,3659.25
SV: Paradox Rift,2024-06-24,109.44
SV: Paradox Rift,2024-06-24,2343.44
SV: Paradox Rift,2024-07-01,328.32
SV: Paradox Rift,2024-07-01,3162.90
SV: Paradox Rift,2024-07-08,190.26
SV: Paradox Rift,2024-07-08,2400.74
SV: Paradox Rift,2024-07-15,147.98
SV: Paradox Rift,2024-07-15,2610.92
SV: Paradox Rift,2024-07-22,264.12
SV: Paradox Rift,2024-07-22,4111.89
SV: Paradox Rift,2024-07-29,275.00
SV: Paradox Rift,2024-07-29,3408.84
SV: Paradox Rift,2024-08-05,387.45
SV: Paradox Rift,2024-08-05,4790.40
SV: Paradox Rift,2024-08-12,361.56
SV: Paradox Rift,2024-08-12,3106.50
SV: Paradox Rift,2024-08-19,164.64
SV: Paradox Rift,2024-08-19,4001.79
SV: Paradox Rift,2024-08-26,287.64
SV: Paradox Rift,2024-08-26,2369.00
SV: Paradox Rift,2024-09-02,316.72
SV: Paradox Rift,2024-09-02,3979.17
SV: Paradox Rift,2024-09-09,385.28
SV: Paradox Rift,2024-09-09,5474.90
SV: Paradox Rift,2024-09-16,179.22
SV: Paradox Rift,2024-09-16,3277.76
SV: Paradox Rift,2024-09-23,270.00
SV: Paradox Rift,2024-09-23,2500.56
SV: Paradox Rift,2024-09-30,117.00
SV: Paradox Rift,2024-09-30,4288.83
SV: Paradox Rift,2024-10-07,253.68
SV: Paradox Rift,2024-10-07,4694.85
SV: Paradox Rift,2024-10-14,299.00
SV: Paradox Rift,2024-10-14,6609.96
SV: Paradox Rift,2024-10-21,242.19
SV: Paradox Rift,2024-10-21,4993.28
SV: Paradox Rift,2024-10-28,460.46
SV: Paradox Rift,2024-10-28,4296.28
SV: Paradox Rift,2024-11-04,375.76
SV: Paradox Rift,2024-11-04,6314.77
SV: Paradox Rift,2024-11-11,328.09
SV: Paradox Rift,2024-11-11,8506.72
SV: Paradox Rift,2024-11-18,453.00
SV: Paradox Rift,2024-11-18,7208.32
SV: Paradox Rift,2024-11-25,1192.32
SV: Paradox Rift,2024-11-25,20124.60
SV: Paradox Rift,2024-12-02,221.34
SV: Paradox Rift,2024-12-02,9711.78
SV: Paradox Rift,2024-12-09,444.16
SV: Paradox Rift,2024-12-09,8652.60
SV: Paradox Rift,2024-12-16,318.99
SV: Paradox Rift,2024-12-16,6798.60
SV: Paradox Rift,2024-12-23,979.29
SV: Paradox Rift,2024-12-23,8761.80
SV: Paradox Rift,2024-12-30,1077.24
SV: Paradox Rift,2024-12-30,7520.04
SV: Paradox Rift,2025-01-06,1337.00
SV: Paradox Rift,2025-01-06,8416.96
SV: Paradox Rift,2025-01-13,2485.71
SV: Paradox Rift,2025-01-13,14604.36
SV: Paradox Rift,2025-01-20,1697.40
SV: Paradox Rift,2025-01-20,16297.17
SV: Paradox Rift,2025-01-27,331.10
SV: Paradox Rift,2025-01-27,15432.49
SV: Paradox Rift,2025-02-03,923.16
SV: Paradox Rift,2025-02-03,13969.41
SV: Paradox Rift,2025-02-10,824.98
SV: Paradox Rift,2025-02-10,19116.16
SV: Paradox Rift,2025-02-17,1584.24
SV: Paradox Rift,2025-02-17,18218.64
SV: Paradox Rift,2025-02-24,1480.11
SV: Paradox Rift,2025-02-24,70450.50
SV: Paradox Rift,2025-03-03,4123.60
SV: Paradox Rift,2025-03-03,23022.08
SV: Paradox Rift,2025-03-10,1744.10
SV: Paradox Rift,2025-03-10,21615.68
SV: Paradox Rift,2025-03-17,1566.00
SV: Paradox Rift,2025-03-17,20259.72
SV: Paradox Rift,2025-03-24,1585.98
SV: Paradox Rift,2025-03-24,11514.36
SV: Paradox Rift,2025-03-31,1464.71
SV: Paradox Rift,2025-03-31,9605.96
SV: Paradox Rift,2025-04-07,1833.84
SV: Paradox Rift,2025-04-07,8924.40
SV: Paradox Rift,2025-04-14,579.15
SV: Paradox Rift,2025-04-14,10638.00
SV: Paradox Rift,2025-04-21,679.52
SV: Paradox Rift,2025-04-21,8198.82
SV: Paradox Rift,2025-04-28,855.44
SV: Paradox Rift,2025-04-28,6769.08
SV: Paradox Rift,2025-05-05,734.16
SV: Paradox Rift,2025-05-05,11107.25
SV: Paradox Rift,2025-05-12,2562.56
SV: Paradox Rift,2025-05-12,18451.84
SV: Paradox Rift,2025-05-19,288.50
SV: Paradox Rift,2025-05-19,4234.60
SV: Paradox Rift,2025-05-26,2601.60
SV: Paradox Rift,2025-05-26,3935.47
SV: Paradox Rift,2025-06-02,43.12
SV: Prismatic Evolutions,2024-11-04,79.84
SV: Prismatic Evolutions,2024-11-11,18.91
SV: Prismatic Evolutions,2024-11-18,86.60
SV: Prismatic Evolutions,2024-11-25,4365.52
SV: Prismatic Evolutions,2024-12-02,2155.86
SV: Prismatic Evolutions,2024-12-02,6235.84
SV: Prismatic Evolutions,2024-12-09,2707.47
SV: Prismatic Evolutions,2024-12-09,24676.74
SV: Prismatic Evolutions,2024-12-16,1279.72
SV: Prismatic Evolutions,2024-12-16,9568.80
SV: Prismatic Evolutions,2024-12-23,2159.92
SV: Prismatic Evolutions,2024-12-23,24967.14
SV: Prismatic Evolutions,2024-12-30,4132.95
SV: Prismatic Evolutions,2024-12-30,44574.40
SV: Prismatic Evolutions,2025-01-06,13728.00
SV: Prismatic Evolutions,2025-01-06,32488.30
SV: Prismatic Evolutions,2025-01-13,39533.49
SV: Prismatic Evolutions,2025-01-13,27840.78
SV: Prismatic Evolutions,2025-01-20,31600.92
SV: Prismatic Evolutions,2025-01-20,12338.47
SV: Prismatic Evolutions,2025-01-27,23334.13
SV: Prismatic Evolutions,2025-01-27,7328.49
SV: Prismatic Evolutions,2025-02-03,40071.99
SV: Prismatic Evolutions,2025-02-03,9282.70
SV: Prismatic Evolutions,2025-02-10,24351.34
SV: Prismatic Evolutions,2025-02-10,9873.15
SV: Prismatic Evolutions,2025-02-17,19843.59
SV: Prismatic Evolutions,2025-02-17,13863.92
SV: Prismatic Evolutions,2025-02-24,30544.59
SV: Prismatic Evolutions,2025-02-24,18582.90
SV: Prismatic Evolutions,2025-03-03,15879.90
SV: Prismatic Evolutions,2025-03-03,100512.00
SV: Prismatic Evolutions,2025-03-10,15770.95
SV: Prismatic Evolutions,2025-03-10,128537.90
SV: Prismatic Evolutions,2025-03-17,9981.62
SV: Prismatic Evolutions,2025-03-17,97928.05
SV: Prismatic Evolutions,2025-03-24,10033.68
SV: Prismatic Evolutions,2025-03-24,70448.77
SV: Prismatic Evolutions,2025-03-31,11719.20
SV: Prismatic Evolutions,2025-03-31,54328.12
SV: Prismatic Evolutions,2025-04-07,12707.46
SV: Prismatic Evolutions,2025-04-07,46367.81
SV: Prismatic Evolutions,2025-04-14,5976.07
SV: Prismatic Evolutions,2025-04-14,54965.46
SV: Prismatic Evolutions,2025-04-21,7367.08
SV: Prismatic Evolutions,2025-04-21,31560.00
SV: Prismatic Evolutions,2025-04-28,11677.28
SV: Prismatic Evolutions,2025-04-28,34075.56
SV: Prismatic Evolutions,2025-05-05,5062.68
SV: Prismatic Evolutions,2025-05-05,25108.56
SV: Prismatic Evolutions,2025-05-12,18756.78
SV: Prismatic Evolutions,2025-05-12,57033.06
SV: Prismatic Evolutions,2025-05-19,6547.50
SV: Prismatic Evolutions,2025-05-19,42892.43
SV: Prismatic Evolutions,2025-05-26,8212.50
SV: Prismatic Evolutions,2025-05-26,38651.40
SV: Prismatic Evolutions,2025-06-02,176.00
SV: Prismatic Evolutions,2025-06-02,1987.20
SV: Scarlet & Violet (Base Set),2024-06-10,960.70
SV: Scarlet & Violet (Base Set),2024-06-10,324.72
SV: Scarlet & Violet (Base Set),2024-06-17,2301.36
SV: Scarlet & Violet (Base Set),2024-06-17,250.00
SV: Scarlet & Violet (Base Set),2024-06-24,2490.54
SV: Scarlet & Violet (Base Set),2024-06-24,151.20
SV: Scarlet & Violet (Base Set),2024-07-01,2335.25
SV: Scarlet & Violet (Base Set),2024-07-01,477.00
SV: Scarlet & Violet (Base Set),2024-07-08,2313.75
SV: Scarlet & Violet (Base Set),2024-07-08,352.17
SV: Scarlet & Violet (Base Set),2024-07-15,1803.29
SV: Scarlet & Violet (Base Set),2024-07-15,209.42
SV: Scarlet & Violet (Base Set),2024-07-22,2037.00
SV: Scarlet & Violet (Base Set),2024-07-22,133.44
SV: Scarlet & Violet (Base Set),2024-07-29,2386.25
SV: Scarlet & Violet (Base Set),2024-07-29,163.80
SV: Scarlet & Violet (Base Set),2024-08-05,961.60
SV: Scarlet & Violet (Base Set),2024-08-05,169.26
SV: Scarlet & Violet (Base Set),2024-08-12,3312.05
SV: Scarlet & Violet (Base Set),2024-08-12,97.35
SV: Scarlet & Violet (Base Set),2024-08-19,2786.10
SV: Scarlet & Violet (Base Set),2024-08-19,244.02
SV: Scarlet & Violet (Base Set),2024-08-26,4880.52
SV: Scarlet & Violet (Base Set),2024-08-26,250.98
SV: Scarlet & Violet (Base Set),2024-09-02,3752.32
SV: Scarlet & Violet (Base Set),2024-09-02,330.60
SV: Scarlet & Violet (Base Set),2024-09-09,5070.45
SV: Scarlet & Violet (Base Set),2024-09-09,159.03
SV: Scarlet & Violet (Base Set),2024-09-16,2669.16
SV: Scarlet & Violet (Base Set),2024-09-16,54.80
SV: Scarlet & Violet (Base Set),2024-09-23,3548.30
SV: Scarlet & Violet (Base Set),2024-09-23,116.44
SV: Scarlet & Violet (Base Set),2024-09-30,2899.80
SV: Scarlet & Violet (Base Set),2024-09-30,100.80
SV: Scarlet & Violet (Base Set),2024-10-07,2255.61
SV: Scarlet & Violet (Base Set),2024-10-07,171.99
SV: Scarlet & Violet (Base Set),2024-10-14,2213.64
SV: Scarlet & Violet (Base Set),2024-10-14,162.98
SV: Scarlet & Violet (Base Set),2024-10-21,3266.24
SV: Scarlet & Violet (Base Set),2024-10-21,11.36
SV: Scarlet & Violet (Base Set),2024-10-28,2196.81
SV: Scarlet & Violet (Base Set),2024-10-28,102.96
SV: Scarlet & Violet (Base Set),2024-11-04,2481.36
SV: Scarlet & Violet (Base Set),2024-11-04,76.95
SV: Scarlet & Violet (Base Set),2024-11-11,3886.85
SV: Scarlet & Violet (Base Set),2024-11-11,286.62
SV: Scarlet & Violet (Base Set),2024-11-18,3595.68
SV: Scarlet & Violet (Base Set),2024-11-18,343.91
SV: Scarlet & Violet (Base Set),2024-11-25,19297.35
SV: Scarlet & Violet (Base Set),2024-11-25,761.40
SV: Scarlet & Violet (Base Set),2024-12-02,6832.59
